C”DIGO;GRUPO/FAMILIA (Abrev.);Nome do produto;Bitola;Unidade;PreÁo Unit·rio;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg;ObservaÁ„o;PVC_HEPR;Capa_PP_kg;PVC_Atox_kg;PVC_Emb_kg;Etiqueta_un
K118;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 2,5MM ATOX†VERMELHO†1KV†90∫;2,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K119;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 2,5MM ATOX†VERDE†1KV†90∫;2,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K004I;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 16,0MM PRETO 1KV 90∫(NAO UTILIZAR);16,0(NAOUTILIZAR);M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K040;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR  1,5MM PRETO 1KV 90∫;1,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K060;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETREFLEX HEPR 1,5MM AZUL 1KV 90∫;1,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K061;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETREFLEX HEPR 2,5MM PRETO 1KV 90∫;2,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K069;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 300,0MM AZUL 1KV 90∫;300;M;#N/D;220;0.0;58;0.0;0,0133;306;;0.0;0.0;0.0;0.0;0.0
K092;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETREFLEX HEPR 2,5MM AMARELO 1KV 90∫;2,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K097;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 1,5MM BRANCO 1KV 90∫;1,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K157;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX XLPE 120,0MM PRETO 1KV 90∫;XLPE120,0;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K003I;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 10,0MM AZUL 1KV 90∫(N√O UTILIZAR);10,0(N√ÉOUTILIZAR);M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K006I;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 16,0MM AZUL 1KV 90∫(NAO UTILIZAR);16,0(NAOUTILIZAR);M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K059;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETREFLEX HEPR 1,5MM VERMELHO 1KV 90∫;1,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K066;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETREFLEX HEPR  1KV 90∫;;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K068;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 300,0MM PRETO 1KV 90∫;300;M;#N/D;220;0.0;58;0.0;0,0133;306;;0.0;0.0;0.0;0.0;0.0
K089;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 1,5MM CINZA 1KV 90∫;1,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K090;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 1,5MM VERDE 1KV 90∫;1,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K096;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 1,5MM AMARELO 1KV 90∫;1,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K107;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 300,0MM BRANCO 1KV 90∫;300;M;#N/D;220;0.0;58;0.0;0,0133;306;;0.0;0.0;0.0;0.0;0.0
K108;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 300,0MM VERDE 1KV 90∫;300;M;#N/D;220;0.0;58;0.0;0,0133;306;;0.0;0.0;0.0;0.0;0.0
K109;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 300,0MM VERMELHO 1KV 90∫;300;M;#N/D;220;0.0;58;0.0;0,0133;306;;0.0;0.0;0.0;0.0;0.0
K043;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR  2,5MM VERMELHO 1KV 90∫;2,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
